	geneID	repID	modelID	type	mcmcID	var	mean
0	BGLOBIN	A	JCAA	post	1000	5.906747766122767	2.2868055555555555
1	BGLOBIN	A	JCAA	post	1001	5.591311188811186	2.254166666666667
2	BGLOBIN	A	JCAA	post	1002	5.89216783216783	2.3
3	BGLOBIN	A	JCAA	post	1003	5.961491355866357	2.3159722222222223
4	BGLOBIN	A	JCAA	post	1004	5.864910644910644	2.3111111111111113
5	BGLOBIN	A	JCAA	post	1005	5.879718337218336	2.298611111111111
6	BGLOBIN	A	JCAA	post	1006	5.711673951048948	2.2979166666666666
7	BGLOBIN	A	JCAA	post	1007	5.985996503496506	2.3375000000000004
8	BGLOBIN	A	JCAA	post	1008	5.887656857031858	2.3256944444444443
9	BGLOBIN	A	JCAA	post	1009	5.90526612276612	2.2930555555555556
10	BGLOBIN	A	JCAA	post	1010	5.810990190365194	2.320138888888889
11	BGLOBIN	A	JCAA	post	1011	5.917604895104895	2.3041666666666667
12	BGLOBIN	A	JCAA	post	1012	5.873828671328672	2.2874999999999996
13	BGLOBIN	A	JCAA	post	1013	5.99519619269619	2.3069444444444445
14	BGLOBIN	A	JCAA	post	1014	5.74055944055944	2.2666666666666666
15	BGLOBIN	A	JCAA	post	1015	5.789059829059826	2.2944444444444443
16	BGLOBIN	A	JCAA	post	1016	6.009370629370632	2.316666666666667
17	BGLOBIN	A	JCAA	post	1017	5.7503010878010885	2.2819444444444446
18	BGLOBIN	A	JCAA	post	1018	5.667656857031857	2.2743055555555554
19	BGLOBIN	A	JCAA	post	1019	5.817325174825172	2.279166666666667
20	BGLOBIN	A	JCAA	post	1020	5.83994560994561	2.286111111111111
21	BGLOBIN	A	JCAA	post	1021	5.858832556332559	2.2819444444444446
22	BGLOBIN	A	JCAA	post	1022	5.865966880341879	2.271527777777778
23	BGLOBIN	A	JCAA	post	1023	6.03620629370629	2.3208333333333333
24	BGLOBIN	A	JCAA	post	1024	5.808041958041959	2.2750000000000004
25	BGLOBIN	A	JCAA	post	1025	5.789121503496504	2.29375
26	BGLOBIN	A	JCAA	post	1026	5.846328185703182	2.2756944444444445
27	BGLOBIN	A	JCAA	post	1027	5.843745143745143	2.2944444444444443
28	BGLOBIN	A	JCAA	post	1028	6.011398115773116	2.3118055555555554
29	BGLOBIN	A	JCAA	post	1029	6.058040015540015	2.326388888888889
30	BGLOBIN	A	JCAA	post	1030	5.837948232323231	2.304861111111111
31	BGLOBIN	A	JCAA	post	1031	6.014537684537687	2.3472222222222223
32	BGLOBIN	A	JCAA	post	1032	5.925415209790208	2.2895833333333333
33	BGLOBIN	A	JCAA	post	1033	5.955912975912975	2.3444444444444446
34	BGLOBIN	A	JCAA	post	1034	5.811324300699302	2.285416666666667
35	BGLOBIN	A	JCAA	post	1035	5.788391608391609	2.283333333333333
36	BGLOBIN	A	JCAA	post	1036	5.81999222999223	2.2972222222222225
37	BGLOBIN	A	JCAA	post	1037	6.060155400155404	2.361111111111111
38	BGLOBIN	A	JCAA	post	1038	6.039102078477078	2.320138888888889
39	BGLOBIN	A	JCAA	post	1039	5.838319735819737	2.301388888888889
40	BGLOBIN	A	JCAA	post	1040	5.935764860139861	2.310416666666667
41	BGLOBIN	A	JCAA	post	1041	5.92243978243978	2.322222222222222
